timestamp (utc),transfer_id,txid,asset_id,template,rarity,mint,count_common,count_rare,count_secret,count_unique
33:32.5,18469574466,f1ca0ee5bb1cdf2cdbf2f92d006ded58216ecb3fe12ccaea98b1c49c91f388db,1099564097147,278949,common,23,156,77,9,1
7/09/2021 7:33,18469576019,3c8e72216e835a92e02e017de3b3d193a61906bd1f19d8e67df8045ca74f1402,1099564097003,278950,rare,17,156,78,9,1
33:36.5,18469579187,773857b7f0e2dc1b364483a6a344c9bd431beb05407ab84db7806b5828fd5124,1099564097987,278949,common,816,157,78,9,1
33:37.5,18469580406,42e25840e64a5e38f6a33e18032549893278da9b31a48da56609d3b96b1241c2,1099564097050,278950,rare,64,157,79,9,1
33:39.5,18469582717,caea61bf4a0eb13509f7a772a206687869b28c362e6777957d8c84e9452e716a,1099564098060,278949,common,889,158,79,9,1
33:40.5,18469583677,a0b66ec532947a5c549818c856a9d2df8614fa8a1d8f4d764d4fa0014b7e7fbc,1099564097249,278949,common,122,159,79,9,1
33:42.5,18469586435,0ef5a010d8e4654d2c62e29053d49603e54e5fb1638cf334ebd887d73bf2a071,1099564097925,278949,common,754,160,79,9,1
33:42.5,18469586481,7b61e4d058c702ab9ba911218aa9f81647e34bd70b812f7cc4d1303c4f3763e6,1099564097439,278949,common,310,161,79,9,1
7/09/2021 7:33,18469587203,04c7eb16baafa0e33983e715992e4052da4ed98008fd597d94a8f53bac89da3c,1099564097533,278949,common,402,162,79,9,1
7/09/2021 7:33,18469589845,adb16350010816e2761fca85c7b36a2ef2905999bc8fba1465e9b9cef333f945,1099564096994,278950,rare,8,162,80,9,1
7/09/2021 7:33,18469589910,72ee602cc5936671c1d04e3ee22559b385af0ef8c6eb2b1b3415fda4126735c2,1099564097815,278949,common,647,163,80,9,1
7/09/2021 7:33,18469590910,89f12508715789f01e00c876fd768f014dc14c946e2d7fba3f806e1d02492fbd,1099564097422,278949,common,295,164,80,9,1
7/09/2021 7:33,18469591433,b955a76d610e82ea73f8ff4de8c3b4f329ff886340da1504585a90d697315ea3,1099564098083,278949,common,910,165,80,9,1
